State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	59	0	0	0	0	0	0	0	0	0	59
AL	49	18	170	7	14	40	673	272	44	592	1,879
AR	3	18	71	27	0	46	0	70	0	0	235
AZ	160	1	5	4	0	23	10	67	5	2	277
CA	818	268	67	191	238	3,947	82	2,272	82	2,613	10,578
CO	625	53	81	43	165	0	61	5	3	0	1,036
CT	310	2	21	12	0	11	2	14	0	0	372
DC	114	0	0	0	0	404	0	15	2	0	535
DE	0	0	0	0	0	0	0	3,975	35	178	4,188
FL	368	11	23	2	47	5,504	1	0	0	0	5,956
GA	1,995	12	0	3	781	1,618	157	6	0	1	4,573
HI	0	0	0	0	0	0	0	0	0	0	0
IA	283	0	11	0	5	0	2,439	31	4	9	2,782
ID	253	0	0	0	0	0	0	0	0	2	255
IL	445	8	47	10	8	99	16	164	9	106	912
IN	633	273	439	0	0	18	10	1	0	0	1,374
KS	7	16	152	51	0	3	0	2	0	0	231
KY	359	6	0	0	0	0	249	7	73	196	890
LA	89	18	0	0	0	9,913	0	8	0	87	10,115
MA	2,686	0	69	208	16,099	2,797	35	6,801	10	1,191	29,896
MD	4,098	0	0	751	1,337	7,742	32	68	6	40	14,074
ME	0	0	0	0	0	0	0	31	0	71	102
MI	182	76	329	10,854	65	69	0	105	2	0	11,682
MN	6	27	35	487	39	16	124	229	30	132	1,125
MO	149	158	172	376	389	10	526	69	15	40	1,904
MS	11	2	0	0	0	0	2	0	0	0	15
MT	0	0	0	0	99	0	0	0	0	0	99
NC	239	18	37	1,723	0	0	84	34	4	0	2,139
ND	0	0	0	0	0	0	0	0	211	0	211
NE	13	0	0	0	282	0	1	5	0	0	301
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	244	33	230	190	622	703	58	396	0	0	2,476
NM	249	12	22	52	52	170	0	0	0	0	557
NV	0	0	0	0	0	0	0	0	0	0	0
NY	666	43	61	114	45	69	18	81	0	22	1,119
OH	2,883	131	107	1,262	7	106	54	214	6	3	4,773
OK	268	0	117	0	0	640	0	4	0	20	1,049
OR	141	0	0	0	0	2,633	4	0	0	0	2,778
PA	2,085	55	59	168	1,225	107	5	1,700	207	292	5,903
PR	0	0	0	0	0	0	0	0	0	0	0
RI	96	0	0	0	23	0	0	32	0	0	151
SC	5,266	0	0	1	0	0	0	0	0	0	5,267
SD	6	0	0	0	0	0	0	0	243	96	345
TN	261	29	29	0	656	53	0	0	0	1	1,029
TX	9,771	19	76	52	105	3,140	187	2,499	99	112	16,060
UT	0	0	0	0	78	0	1	16	16	0	111
VA	413	0	8	1	29	3	247	29	4	0	734
VT	0	0	0	0	0	0	0	0	477	0	477
WA	413	0	73	292	24	6,518	6	792	2	22	8,142
WI	1,173	8	3,284	48	13	1,528	133	559	29	91	6,866
WV	0	0	0	0	0	0	0	0	0	0	0
WY	46	0	0	0	0	0	0	0	332	264	642
REPORT TOTAL	37,935	1,315	5,795	16,929	22,447	47,930	5,217	20,573	1,950	6,183	166,274
