State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	91	0	0	0	0	0	0	0	0	0	91
AL	14	54	139	0	0	96	303	646	163	30	1,445
AR	3	0	53	14	0	51	0	0	90	0	211
AZ	0	0	7	0	0	0	0	23	22	27	79
CA	1,685	174	145	1,163	296	4,007	1,846	85	2,339	36	11,776
CO	671	31	20	105	177	0	0	17	35	130	1,186
CT	86	2	24	1	1	25	0	0	8	0	147
DC	111	24	0	0	0	433	0	0	0	0	568
DE	0	0	0	0	0	0	233	0	4,036	32	4,301
FL	891	0	4	0	86	4,774	1	2	8	8	5,774
GA	1,378	4	0	1	0	1,601	0	96	15	0	3,095
HI	0	0	0	0	0	0	0	0	0	0	0
IA	274	9	13	88	1,906	0	23	2,912	33	0	5,258
ID	358	3	0	0	0	0	1	0	0	0	362
IL	606	51	134	199	0	124	43	15	159	106	1,437
IN	126	27	152	0	0	117	0	5	6	0	433
KS	3	6	136	33	1	0	12	1	44	0	236
KY	348	17	0	0	0	0	286	215	24	83	973
LA	102	71	10	0	0	9,885	129	0	5	3	10,205
MA	2,019	0	71	969	2,073	1,570	693	122	841	0	8,358
MD	5,580	0	0	249	936	4,784	15	7	111	0	11,682
ME	0	0	0	0	0	0	131	0	80	0	211
MI	180	28	135	8,445	0	792	8	0	8	0	9,596
MN	16	0	50	841	45	17	23	167	315	13	1,487
MO	91	155	256	156	0	12	14	404	17	0	1,105
MS	15	0	16	0	0	21	0	6	0	0	58
MT	315	0	0	0	488	0	0	0	0	0	803
NC	149	54	17	354	0	0	0	34	64	1	673
ND	0	0	0	0	0	0	0	0	0	171	171
NE	7	0	0	0	69	0	0	0	2	0	78
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	1	10	166	164	843	606	0	0	409	0	2,199
NM	182	34	21	2	16	196	0	0	0	0	451
NV	0	0	0	5	0	0	0	0	0	0	5
NY	693	23	43	31	58	143	23	13	45	0	1,072
OH	633	252	401	794	8	30	21	68	45	7	2,259
OK	28	0	101	0	0	567	7	0	19	26	748
OR	33	0	0	0	0	2,111	0	0	0	0	2,144
PA	1,659	15	40	101	650	35	238	32	1,516	209	4,495
PR	0	0	0	0	0	2,093	0	0	0	0	2,093
RI	35	0	0	4	58	0	0	4	115	0	216
SC	4,341	0	0	1	51	0	0	0	0	0	4,393
SD	0	0	0	0	0	0	87	3	5	5	100
TN	536	20	53	0	257	54	0	0	0	0	920
TX	11,116	44	127	148	74	2,586	166	156	4,368	387	19,172
UT	0	0	41	0	119	5	24	3	0	15	207
VA	161	2	7	22	35	13	0	455	32	0	727
VT	0	0	0	0	0	0	0	0	0	0	0
WA	465	0	54	77	53	4,810	91	12	374	6	5,942
WI	1,067	39	3,644	66	9	2,076	1	151	309	42	7,404
WV	129	0	0	0	0	0	0	0	0	0	129
WY	23	0	0	0	0	0	0	0	0	27	50
REPORT TOTAL	36,221	1,149	6,080	14,033	8,309	43,634	4,419	5,654	15,662	1,364	136,525
