county,state,cocaineDeath,year,fips,meanHouseholdSize,prevDisabled,gini,prevHispanic,medianAge,prevMedicaid,prevMinBachelors,prevBlack,prevWhite,perCapIncome,prevMen,nPop,prevPoverty,medianRentCostBurden,prevNoCar,totalJailAdmit,jailAdmit100
Adams,CO,70,2010-2014,08001,2.95,10.39,0.4,38.4,33,19.15,21.62,2.98,52.48,24667,50.29,461558,14.14,30.9,5.37,82628,17.9019755
Alameda,CA,80,2010-2014,06001,2.77,9.23,0.47,22.61,37,16.88,42.12,11.54,33.31,36439,48.99,1559308,12.88,31.4,10.33,236340,15.1567234
Allegheny,PA,350,2010-2014,42003,2.26,13.01,0.49,1.74,41,15.31,36.94,12.84,79.97,32378,48.04,1229172,12.93,28.8,13.94,75597,6.1502377
Anne Arundel,MD,60,2010-2014,24003,2.66,9.5,0.41,6.66,39,10.93,37.57,15.31,71.22,41315,49.47,550269,5.9,29.2,4.18,39130,7.1110675
Arapahoe,CO,52.5,2010-2014,08005,2.59,9.13,0.46,18.56,36,13.75,39.37,9.82,62.62,33574,49.12,596684,11.66,31.6,5.46,92560,15.5123985
Atlantic,NJ,50,2010-2014,34001,2.65,12.76,0.45,17.75,41,18.15,24.36,14.66,57.5,27411,48.45,275325,15.2,35.4,14.04,48776,17.7157904
Baltimore,MD,83,2010-2014,24005,2.54,11.33,0.44,4.63,39,13.85,36.02,26.44,61.03,34701,47.3,817720,9.06,30.6,7.9,69680,8.5212542
Bergen,NJ,61.25,2010-2014,34003,2.71,8.36,0.48,17.4,41,8.84,46.14,5.29,60.29,43194,48.33,920456,7.48,31,8.45,47065,5.1132265
Berkeley,WV,60,2010-2014,54003,2.62,13.15,0.42,3.86,38,15.61,20.29,6.92,85.34,26516,49.31,107324,14.62,29.8,6.3,18508,17.2449778
Berks,PA,61.25,2010-2014,42011,2.6,13.15,0.43,17.6,40,17.7,22.73,4.08,75.38,26998,49.12,413016,14.31,32.1,9.29,36374,8.8069227
Bernalillo,NM,129,2010-2014,35001,2.51,12.71,0.47,48.47,36,22.29,32.31,2.53,40.76,26916,49.01,671429,18.59,31.4,6.37,227316,33.8555529
Bexar,TX,248,2010-2014,48029,2.86,13.27,0.46,59,33,19.34,26.5,6.93,29.63,24525,49.13,1789088,17.82,29.6,7.96,140047,7.827843
Brevard,FL,70,2010-2014,12009,2.45,15.03,0.45,8.76,46,14.73,26.66,9.83,76.56,27360,48.89,548891,14.04,32.5,5.36,96148,17.5167747
Bristol,MA,126,2010-2014,25005,2.53,13.85,0.45,6.5,40,25.3,25.57,3.3,84.75,29173,48.41,551065,12.67,30.1,10.72,51584,9.3607832
Broward,FL,216,2010-2014,12011,2.69,11.31,0.48,26.45,40,15.43,30.17,26.58,41.36,28329,48.54,1815269,14.63,36.1,7.7,269697.5,14.8571644
Butler,OH,110,2010-2014,39017,2.67,11.34,0.44,4.23,36,13.54,28.05,7.49,83.34,27394,48.96,371154,13.78,30.4,5.58,90948,24.5041142
Cabell,WV,55,2010-2014,54011,2.31,19.84,0.5,1.25,39,20.23,26.42,4.58,90.5,23595,48.61,96826,22.55,31.8,13.37,12824.33,13.2447173
Charleston,SC,55,2010-2014,45019,2.42,10.65,0.5,5.21,36,14.39,39.98,28.74,62.82,31198,48.46,365674,18.06,34,8.31,155428,42.5045259
Chatham,GA,55,2010-2014,13051,2.55,11.61,0.47,5.81,34,14.66,32.27,39.46,49.99,25636,48.26,275303,19.34,33,8.13,93444,33.9422382
Clark,NV,182,2010-2014,32003,2.77,11.54,0.45,29.78,36,12.98,22.23,10.31,46.5,26040,50.19,2003613,15.75,30.8,8.5,627484,31.3176247
Clark,OH,50,2010-2014,39023,2.44,16.22,0.44,2.93,41,22.65,18.17,8.48,84.92,22941,48.4,137303,19.04,31.2,8.85,21554.5,15.6984917
Clermont,OH,75,2010-2014,39025,2.67,12.47,0.43,1.63,39,12.52,26.24,1.33,94.37,28708,49.39,199450,10.52,28.5,4.64,35474,17.7859113
Collier,FL,65,2010-2014,12021,2.61,11.39,0.53,26.34,48,13.53,32.31,6.56,64.81,37236,49.22,334474,14.36,33.4,6,54444,16.2774984
Contra Costa,CA,55,2010-2014,06013,2.82,10.44,0.46,24.77,39,14.72,39.44,8.61,46.57,38770,48.76,1081232,10.65,32.7,5.85,123084,11.3836808
Cook,IL,787,2010-2014,17031,2.65,10.34,0.5,24.51,36,20.48,35.26,23.88,43.36,30468,48.43,5227827,17.22,31.7,17.78,449956,8.6069413
Cumberland,NC,53.33333333333333,2010-2014,37051,2.56,14.2,0.44,10.36,31,19.14,22.92,35.32,46.06,23204,48.66,324002,17.36,29.9,6.31,60788,18.7616126
Cuyahoga,OH,344,2010-2014,39035,2.32,14.28,0.5,5.09,40,20.42,30.32,29.25,60.72,27892,47.55,1267513,18.54,31.5,13.72,267727,21.1222291
Dallas,TX,319,2010-2014,48113,2.78,9.47,0.5,38.8,33,19.61,28.73,21.79,32.01,27195,49.36,2448943,19.33,29.3,7.32,558220,22.7943239
Davidson,TN,147,2010-2014,47037,2.41,11.42,0.49,9.84,34,18.11,36.47,27.51,57.07,28971,48.25,648048,18.83,30.7,7.47,252330,38.9369306
DeKalb,GA,58,2010-2014,13089,2.62,9.81,0.49,9.28,35,16.87,40.29,53.17,29.69,28971,47.73,707185,19.59,32.9,9.28,191932,27.1402815
Denver,CO,97,2010-2014,08031,2.28,9.65,0.51,31.2,34,20.35,43.73,9.47,52.85,34423,49.99,633777,18.34,29.9,11.67,124540,19.6504449
District of Columbia,DC,164,2010-2014,11001,2.22,11.12,0.53,9.88,34,26.17,53.39,48.72,35.37,46502,47.34,633736,18.24,29.6,36.22,66300,10.4617696
DuPage,IL,72,2010-2014,17043,2.71,7.95,0.45,13.72,39,10.55,46.71,4.52,69.14,38931,49.03,926485,7.15,29,4.03,65858,7.108372
Durham,NC,60,2010-2014,37063,2.37,10.21,0.48,13.42,34,15.76,45.6,37.24,42.08,29801,48.03,282422,18.09,30.6,8.94,65442,23.1717076
Dutchess,NY,70,2010-2014,36027,2.61,12.8,0.43,11.05,41,13.19,33.44,9.24,73.52,33962,49.74,297388,8.82,32.7,8.63,15292,5.1421039
Duval,FL,106,2010-2014,12031,2.58,12.67,0.47,8.12,36,18.42,26.47,29.02,55.64,26267,48.47,880750,17.45,33.3,8.35,171210,19.4391144
El Paso,CO,70,2010-2014,08041,2.62,11.44,0.44,15.7,34,14.33,35.25,5.64,71.06,29314,50.19,645707,12.52,30.3,4.83,109304,16.9278016
El Paso,TX,50,2010-2014,48141,3.14,12.8,0.47,81.44,31,24.19,20.75,2.96,13.39,18705,48.78,823862,23.43,30.2,7.82,160888,19.5285133
Erie,NY,81.25,2010-2014,36029,2.34,12.97,0.46,4.84,41,19.9,31.18,12.87,76.98,28512,48.33,920694,14.72,29.9,13.66,97273,10.5651824
Escambia,FL,55,2010-2014,12033,2.53,15.09,0.45,5.12,37,17.78,23.91,21.76,65.81,24014,49.67,304099,17.11,31.8,7.01,89363,29.3861539
Essex,MA,164,2010-2014,25009,2.58,11.52,0.48,17.62,41,23.39,37.24,2.85,74.42,36035,48.1,757395,11.27,31.3,10.88,64688,8.5408538
Essex,NJ,168,2010-2014,34013,2.77,12.03,0.54,21.32,37,20.72,32.34,38.98,32.37,32327,48,789616,17.19,33.3,22.93,116428,14.7448887
Fairfield,CT,90,2010-2014,09001,2.74,8.81,0.54,17.88,40,13.89,45.43,10.32,64.77,49688,48.68,934215,9.12,32.6,8.25,0,0
Fayette,KY,108.33333333333334,2010-2014,21067,2.35,11.33,0.49,6.84,34,13.58,40.24,14.24,72.63,29168,49.13,304473,19.31,31,8.53,110136,36.1726656
Fayette,PA,65,2010-2014,42051,2.42,18.38,0.44,0.93,44,22.61,13.91,3.93,92.55,21319,49.25,135376,19.03,28,9,13598,10.0446165
Forsyth,NC,60,2010-2014,37067,2.45,10.61,0.48,12.27,38,16.58,32.14,25.76,58.17,26670,47.48,358130,19.08,31.2,7.89,67236,18.7741881
Franklin,OH,316,2010-2014,39049,2.47,11.61,0.47,4.94,34,17.25,36.71,21.01,66.38,28807,48.69,1197592,17.98,29.3,8.38,183512,15.3234157
Fulton,GA,160,2010-2014,13121,2.5,9.35,0.54,7.71,35,14.84,48.58,43.52,40.57,36827,48.67,967100,17.83,30.9,12,514359.75,53.1857874
Galveston,TX,50,2010-2014,48167,2.65,12.46,0.46,23.17,37,13.02,28.29,13.17,58.51,31030,49.47,302276,13.48,30.4,6.18,99008,32.7541717
Genesee,MI,88.33333333333334,2010-2014,26049,2.49,16.1,0.45,3.15,39,28.38,19.15,20.22,72.55,22536,48.21,418654,21.24,35.4,9.11,68224,16.2960344
Greenville,SC,66,2010-2014,45045,2.57,11.43,0.48,8.47,38,15.03,31.56,18.01,69.72,27097,48.57,467087,15.8,29.2,6.85,109694,23.4847041
Guilford,NC,66.66666666666667,2010-2014,37081,2.44,10.62,0.48,7.38,37,16.42,33.65,32.58,53,26322,47.58,500899,17.88,30.7,7.47,107718,21.5049341
Hamilton,OH,223,2010-2014,39061,2.39,12.45,0.51,2.73,37,17.33,34.32,25.54,67.06,30062,48.05,803272,18.44,31.3,12.41,202332,25.1884791
Hampden,MA,72,2010-2014,25013,2.54,15.79,0.47,22.12,39,33.06,25.45,7.76,66.07,26249,48.17,466447,17.7,32.5,14.1,23608,5.0612395
Harris,TX,617,2010-2014,48201,2.89,9.23,0.5,41.37,33,18.96,28.98,18.5,32.08,28454,49.75,4269608,18.43,29.8,6.91,611884,14.3311517
Hartford,CT,114,2010-2014,09003,2.5,11.8,0.47,16.19,40,19.08,35.57,12.42,64.55,35307,48.43,897374,12.1,30.9,10.95,0,0
Hennepin,MN,78,2010-2014,27053,2.39,9.38,0.48,6.78,36,15.18,46.4,11.76,70.82,38125,49.2,1184091,12.92,29.5,10.38,215930,18.2359295
Hidalgo,TX,60,2010-2014,48215,3.61,13.46,0.49,90.91,29,30.41,16.42,0.41,7.44,14525,48.73,806447,34.59,33.1,6.75,103766,12.8670576
Hillsborough,FL,131,2010-2014,12057,2.64,11.66,0.48,25.7,36,18.03,29.77,15.67,52.36,27532,48.79,1279668,17.16,32.8,7.09,251368,19.64322
Hillsborough,NH,60,2010-2014,33011,2.56,10.75,0.43,5.64,40,11.11,35.49,1.88,86.82,34767,49.53,402776,8.6,29.8,6.05,24908,6.1840825
Horry,SC,50,2010-2014,45051,2.43,15.56,0.45,6.14,43,17.6,22.9,13.53,77.08,23693,48.7,283280,18.88,33.9,5.54,69394,24.4966111
Hudson,NJ,70,2010-2014,34017,2.63,9.42,0.49,42.71,35,20.36,36.79,11.2,29.62,32678,49.62,654878,17.37,29.1,32.38,93912,14.340381
Ingham,MI,58.33333333333333,2010-2014,26065,2.4,12.08,0.48,7.48,31,19.39,36.55,10.78,71.71,25010,48.54,282562,22.35,34.4,8.74,59774,21.1542953
Iredell,NC,50,2010-2014,37097,2.68,12.37,0.47,7.08,40,13.88,25.13,12.08,77.12,27125,49.21,162999,13.37,29.2,4.2,34320,21.0553439
Jackson,MO,69,2010-2014,29095,2.45,13,0.46,8.55,36,15.41,28,23.58,62.96,26328,48.34,678167,17.48,31.2,9.66,117078,17.2638893
Jefferson,AL,110,2010-2014,01073,2.48,14.53,0.5,3.81,37,18.4,30.33,42.12,51.21,26896,47.29,658834,18.7,32.5,8,400511,60.7908821
Jefferson,KY,68.75,2010-2014,21111,2.4,14.68,0.48,4.58,38,17.05,30.82,20.4,69.9,28464,48.23,751485,16.73,29.2,10.08,212420,28.2666986
Jefferson,TX,50,2010-2014,48245,2.55,14.73,0.49,18.09,36,20.11,17.99,33.34,43.39,23563,51.11,252466,21.31,31.3,9.29,109595,43.4098057
Kanawha,WV,62.5,2010-2014,54039,2.29,19.73,0.47,1.02,43,18.23,24.92,4.11,88.2,27913,48.1,191765,15.04,25.9,9.55,34608.3,18.0472453
Kane,IL,50,2010-2014,17089,3.01,7.86,0.43,31.05,36,17.37,31.82,5.26,58.46,30645,49.77,521874,11.54,32.1,4.82,39338,7.5378348
Kent,MI,50,2010-2014,26081,2.62,11.02,0.45,9.92,35,17.89,32.6,9.34,75.37,26436,49.06,615381,15.48,30.1,7.71,140062,22.7602087
Kent,RI,56.66666666666667,2010-2014,44003,2.39,13.96,0.44,3.74,43,14.16,30.11,1.31,90.59,34110,48.27,165253,8.83,30.7,6.3,0,0
King,WA,264,2010-2014,53033,2.44,9.59,0.47,9.17,37,12.37,47.06,6,63.49,40656,49.89,2008997,11.79,29.1,9.66,316552,15.7567184
Knox,TN,64,2010-2014,47093,2.37,12.69,0.48,3.69,37,14.75,34.51,9.03,83.28,28255,48.61,440732,15.31,30.4,6.62,132340,30.0273182
Lake,IL,93,2010-2014,17097,2.83,7.93,0.48,20.46,37,13.2,42.66,6.63,64.24,38459,49.9,703170,9.4,30.5,4.96,53505.45,7.609177
Lake,OH,50,2010-2014,39085,2.41,11.31,0.42,3.7,43,10.9,25.97,3.56,90.05,29556,48.78,229602,9.19,29.3,5.8,27014,11.765577
Lee,FL,78,2010-2014,12071,2.59,13.74,0.47,18.97,46,15.88,25.33,8.17,69.89,27578,49.04,647554,16.05,32.3,5.24,145756,22.508702
Lorain,OH,70,2010-2014,39093,2.5,14.15,0.43,8.81,41,17.37,22.28,7.9,79.72,26487,49.22,302465,14.58,31.3,6.94,43940,14.5273007
Los Angeles,CA,320,2010-2014,06037,3.02,9.56,0.5,48.13,35,22.45,29.91,8.04,27.19,27987,49.26,9974203,18.39,35.4,9.78,854411.8,8.5662163
Lucas,OH,120,2010-2014,39095,2.4,14.92,0.48,6.42,38,22.2,24.17,18.53,70.34,24683,48.5,438167,21.11,32,10.84,110474,25.2127613
Macomb,MI,102,2010-2014,26099,2.51,13.56,0.42,2.38,41,16.38,23.08,9.75,82.12,27145,48.62,849344,12.76,31.3,6.68,99372,11.6998531
Madison,IL,55,2010-2014,17119,2.45,11.96,0.44,2.92,39,17.1,24.76,7.97,86.22,28093,48.9,267937,13.86,30.5,6.24,47580,17.7579058
