Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR9304146,2019-12-05 22:30:21,2019-06-14 15:10:47,13055933,1331705166,13055933,102,360,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304146/SRR9304146.1,SRX6072819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975149,SAMN12059817,simple,10090,Mus musculus,GSM3891506,,,,,,,no,,,,,GEO,SRA899561,,public,DBD83A97B10D38919CB95C8B63F4CACC,5CF3023DA89E4C475E1B979CB272B628
SRR9304147,2019-12-05 22:30:21,2019-06-14 15:09:51,12178852,1242242904,12178852,102,336,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304147/SRR9304147.1,SRX6072819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975149,SAMN12059817,simple,10090,Mus musculus,GSM3891506,,,,,,,no,,,,,GEO,SRA899561,,public,7596761EE3BC13B8D17D5773E5A081AE,EB697A724C29836DA7273BC740AD2FA9
SRR9304148,2019-12-05 22:30:21,2019-06-14 15:13:23,18346251,1871317602,18346251,102,506,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304148/SRR9304148.1,SRX6072820,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975150,SAMN12059816,simple,10090,Mus musculus,GSM3891507,,,,,,,no,,,,,GEO,SRA899561,,public,CC9E388C189845B613A1C0052BAE72D1,2A6E0874F42EA9068A455B9B4941B814
SRR9304149,2019-12-05 22:30:21,2019-06-14 15:13:23,17708437,1806260574,17708437,102,489,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304149/SRR9304149.1,SRX6072820,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975150,SAMN12059816,simple,10090,Mus musculus,GSM3891507,,,,,,,no,,,,,GEO,SRA899561,,public,A94BD64250536313F8D92C2BFCDB2A8A,AF31E13CE43553F929EAAD2AFBC2C0AA
SRR9304150,2019-12-05 22:30:21,2019-06-14 15:11:13,12347215,1259415930,12347215,102,341,,https://sra-download.ncbi.nlm.nih.gov/traces/sra51/SRR/009086/SRR9304150,SRX6072821,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975151,SAMN12059815,simple,10090,Mus musculus,GSM3891508,,,,,,,no,,,,,GEO,SRA899561,,public,2EDC548DD3ED2835749D4FE3F70BE5A9,B39D8467ED296D511AFD642D01DFE248
SRR9304151,2019-12-05 22:30:21,2019-06-14 15:11:30,12483507,1273317714,12483507,102,345,,https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/009086/SRR9304151,SRX6072821,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975151,SAMN12059815,simple,10090,Mus musculus,GSM3891508,,,,,,,no,,,,,GEO,SRA899561,,public,3B97629CB9B5BC5F7D80D55BA6D9909C,72F3D78A14D6EE51F886E1CAF1614C44
SRR9304152,2019-12-05 22:30:21,2019-06-14 15:14:21,18944061,1932294222,18944061,102,535,,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/009086/SRR9304152,SRX6072822,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975152,SAMN12059814,simple,10090,Mus musculus,GSM3891509,,,,,,,no,,,,,GEO,SRA899561,,public,EE701C08B0CE7B85ACAF69CFB2ED8517,60303A33148F193B1A4CED428F44758A
SRR9304153,2019-12-05 22:30:21,2019-06-14 15:13:41,18328751,1869532602,18328751,102,518,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/009086/SRR9304153,SRX6072822,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975152,SAMN12059814,simple,10090,Mus musculus,GSM3891509,,,,,,,no,,,,,GEO,SRA899561,,public,B941D658C46AD33C58BFA3FA27713906,2B9BA227E9452057328299644EEA8A7D
SRR9304154,2019-12-05 22:30:21,2019-06-14 15:12:54,17802722,1815877644,17802722,102,502,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/009086/SRR9304154,SRX6072823,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975153,SAMN12059813,simple,10090,Mus musculus,GSM3891510,,,,,,,no,,,,,GEO,SRA899561,,public,7A3F0210E9BA3BD3404EAE15D6C36226,0AC69D2A3C8BA68C10D0D7820F191EFD
SRR9304155,2019-12-05 22:30:21,2019-06-14 15:13:23,18102373,1846442046,18102373,102,511,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR9304155/SRR9304155.1,SRX6072823,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP201470,PRJNA548932,3,548932,SRS4975153,SAMN12059813,simple,10090,Mus musculus,GSM3891510,,,,,,,no,,,,,GEO,SRA899561,,public,071B21A72822B2D28A918057855800A9,81F544CE92ED205097AEB3B14B0F3464
